"","uniprot_id","target_name","dfam_id","start_aa","end_aa","repeat_type_name","name","TE_per_protein","is_primate_spec","organism","clade","group","ensembl_gene_id_version","n_exons"
"1","A0A024QZJ4","ENST00000911134.1","DF000001067",962,999,"Retroposon","SVA_A",1,"yes","Hominoidea","root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea","primates","ENSG00000133392.20",1
"2","A0A024QZX5","ENST00000616722.4","DF003445839",14,176,"SINE","Pman_MIR_6.141",1,"no","Peromyscus maniculatus","root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Cricetidae;Neotominae;Peromyscus;Peromyscus maniculatus","mammals_non_primate","ENSG00000124570.22",4
"3","A0A024R214","ENST00000617958.4","DF000000836",1,67,"DNA","Tigger2",1,"yes","Artiodactyla","root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates; root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Carnivora; root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla","mammals_non_primate","ENSG00000214575.11",2
"4","A0A024R5G9","ENST00000526010.2","DF003584393",201,316,"LINE","L1-17_rCom",1,"no","Ricinus communis","root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Malpighiales;Euphorbiaceae;Acalyphoideae;Acalypheae;Ricinus;Ricinus communis","not_mammals","ENSG00000174080.13",4
"5","A0A068F658","ENST00000852359.1","DF000001067",40,51,"Retroposon","SVA_A",1,"yes","Hominoidea","root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea","primates","ENSG00000177628.17",1
"6","A0A075B6E5","ENST00000284563.7","DF003586874",128,203,"LTR","Ssa_0552",1,"no","Salmo salar","root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Protacanthopterygii;Salmoniformes;Salmonidae;Salmoninae;Salmo;Salmo salar","not_mammals","ENSG00000154380.20",3
"7","A0A075B6F6","ENST00000344042.5","DF003574974",182,206,"LINE","LINE_D.rostriformis_31_cons",1,"no","Dreissena rostriformis","root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Heteroconchia;Euheterodonta;Imparidentia;Neoheterodontei;Myida;Dreissenoidea;Dreissenidae;Dreissena;Dreissena rostriformis","not_mammals","ENSG00000101294.21",2
"8","A0A075B6T9","ENST00000541009.6","DF003445819",79,120,"LINE","Pman_L1_6.15634",1,"no","Peromyscus maniculatus","root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Cricetidae;Neotominae;Peromyscus;Peromyscus maniculatus","mammals_non_primate","ENSG00000090612.23",4
"9","A0A075B6T9","ENST00000541009.6","DF000001002",152,188,"LTR","MLT1A1",2,"no","Euarchontoglires","root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires","mammals_non_primate","ENSG00000090612.23",4
"10","A0A075B724","ENST00000561967.1","DF003586724",56,120,"LINE","ZymTri_2023_family_532",1,"no","Zymoseptoria tritici","root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetidae;Mycosphaerellales;Mycosphaerellaceae;Zymoseptoria;Zymoseptoria tritici","not_mammals","ENSG00000261456.6",2
