"","uniprot_id","source_file","target_name","dfam_id","e_value","score","strand","start_aa","end_aa","source","name","repeat_type_name","repeat_subtype_name","ensembl_gene_id_version"
"1","A0A024QZJ4","ENST00000911134","ENST00000911134.1","DF000001067",4.1e-54,191.3,"+",962,999,"api","SVA_A","Retroposon","SVA","ENSG00000133392.20"
"2","A0A068F658","ENST00000852359","ENST00000852359.1","DF000001067",2.2e-46,165.7,"-",40,51,"api","SVA_A","Retroposon","SVA","ENSG00000177628.17"
"3","A0A087WSV4","ENST00000311652","ENST00000311652.11","DF000000039",1.1e-84,294.2,"-",196,207,"api","AluS","SINE","Alu","ENSG00000204149.16"
"4","A0A087WT10","ENST00000602296","ENST00000602296.6","DF000000010",5.7e-21,80.6,"-",24,37,"api","L1MC4","LINE","L1","ENSG00000251503.8"
"5","A0A087WT55","ENST00000560624","ENST00000560624.5","DF000001067",1.8e-14,60,"+",112,157,"api","SVA_A","Retroposon","SVA","ENSG00000272886.7"
"6","A0A087WTU9","ENST00000484298","ENST00000484298.5","DF000000110",3.5e-25,95.4,"+",3129,3137,"api",NA,NA,NA,"ENSG00000116127.20"
"7","A0A087WTX6","ENST00000493661","ENST00000493661.2","DF000000010",3.9e-31,114.3,"+",25,42,"api","L1MC4","LINE","L1","ENSG00000166401.16"
"8","A0A087WV20","ENST00000614410","ENST00000614410.4","DF000000110",3.5e-25,95.4,"+",3171,3179,"api",NA,NA,NA,"ENSG00000116127.20"
"9","A0A087WV31","ENST00000536967","ENST00000536967.2","DF000001126",6.2e-73,255.4,"+",172,186,"api","MLT1A","LTR","ERVL-MaLR","ENSG00000139144.12"
"10","A0A087WVE6","ENST00000559748","ENST00000559748.5","DF000001067",1.8e-14,60,"+",123,168,"api","SVA_A","Retroposon","SVA","ENSG00000272886.7"
"11","A0A087WVR2","ENST00000620021","ENST00000620021.4","DF000001002",1.1e-53,192.1,"-",77,94,"api","MLT1A1","LTR","ERVL-MaLR","ENSG00000150403.19"
"12","A0A087WVX1","ENST00000613899","ENST00000613899.4","DF000000583",4.8e-62,218.4,"-",175,187,"api","LTR78","LTR","ERV1","ENSG00000219626.10"
"13","A0A087WVY3","ENST00000621097","ENST00000621097.4","DF000000034",5.9e-35,130.5,"-",129,138,"api","AluJ","SINE","Alu","ENSG00000049541.12"
"14","A0A087WW29","ENST00000472037","ENST00000472037.5","DF000000976",2.5e-17,73.6,"-",32,52,"api","MIRc","SINE","MIR","ENSG00000010803.19"
"15","A0A087WW88","ENST00000676705","ENST00000676705.1","DF000000042",4.3e-88,305.4,"-",1,27,"api","AluS","SINE","Alu","ENSG00000083937.10"
"16","A0A087WWD9","ENST00000470494","ENST00000470494.5","DF000001022",1.1e-38,142.2,"-",141,164,"api","MLT1K","LTR","ERVL-MaLR","ENSG00000107736.23"
"17","A0A087WWT1","ENST00000491274","ENST00000491274.6","DF000000361",5.4e-13,58.3,"-",1,10,"api","L2c","LINE","L2","ENSG00000117118.13"
"18","A0A087WWV7","ENST00000611812","ENST00000611812.1","DF000000358",4.6e-210,707.5,"-",25,37,"api","L2","LINE","L2","ENSG00000149633.13"
"19","A0A087WXG7","ENST00000684509","ENST00000684509.1","DF000000836",0,1364.8,"+",1,32,"api","Tigger2","DNA","TcMar-Tigger","ENSG00000214575.11"
"20","A0A087WY63","ENST00000611173","ENST00000611173.1","DF000000327",8.4e-12,53,"-",238,254,"api","L1PA10","LINE","L1","ENSG00000148357.18"
"21","A0A087WY73","ENST00000535024","ENST00000535024.7","DF000000310",4.4e-20,80.3,"+",13,31,"api",NA,NA,NA,"ENSG00000111215.13"
"22","A0A087WYL8","ENST00000616513","ENST00000616513.1","DF000000005",7.5e-109,374.1,"+",16,27,"api","THE1A","LTR","ERVL-MaLR","ENSG00000253710.5"
"23","A0A087WYN1","ENST00000614127","ENST00000614127.5","DF000000210",1.8e-14,62.3,"-",1,10,"api",NA,NA,NA,"ENSG00000170074.22"
"24","A0A087WYN1","ENST00000614127","ENST00000614127.5","DF000290007",2.9e-45,161,"+",312,321,"api","FAM90Ar","Unknown","","ENSG00000170074.22"
"25","A0A087WYQ7","ENST00000613664","ENST00000613664.1","DF000000107",1.6e-21,82.7,"+",148,156,"api","Charlie8","DNA","hAT-Charlie","ENSG00000115919.16"
"26","A0A087WYY7","ENST00000334095","ENST00000334095.4","DF000000034",2.7e-57,203.9,"-",1,18,"api","AluJ","SINE","Alu","ENSG00000160336.18"
"27","A0A087WZ02","ENST00000611224","ENST00000611224.1","DF000000051",1.7e-89,309.9,"-",49,62,"api","AluS","SINE","Alu","ENSG00000102780.18"
"28","A0A087WZB7","ENST00000616800","ENST00000616800.4","DF000001018",2.4e-39,144.8,"-",55,67,"api","MLT1J","LTR","ERVL-MaLR","ENSG00000188690.17"
"29","A0A087WZD9","ENST00000503272","ENST00000503272.1","DF000000821",4.9e-154,522.9,"-",1,25,"api","Tigger10","DNA","TcMar-Tigger","ENSG00000234616.10"
"30","A0A087WZI3","ENST00000613996","ENST00000613996.1","DF000000337",4.2e-42,153.3,"-",141,154,"api","L1PA17","LINE","L1","ENSG00000100298.16"
"31","A0A087WZK3","ENST00000614286","ENST00000614286.1","DF000000770",1.9e-88,306.8,"-",102,123,"api","MER34","LTR","ERV1","ENSG00000233757.7"
"32","A0A087WZM5","ENST00000614856","ENST00000614856.2","DF000000304",6e-13,57,"+",53,94,"api","L1ME4b","LINE","L1","ENSG00000088832.19"
"33","A0A087WZM8","ENST00000613758","ENST00000613758.4","DF000000035",1.3e-79,277.4,"+",30,46,"api","AluJ","SINE","Alu","ENSG00000133678.15"
"34","A0A087WZP1","ENST00000569086","ENST00000569086.5","DF000000975",2.1e-15,67.1,"-",135,158,"api","MIRb","SINE","MIR","ENSG00000179588.9"
"35","A0A087WZZ3","ENST00000570487","ENST00000570487.1","DF000000277",1.5e-72,251.9,"-",88,100,"api","L1MC3","LINE","L1","ENSG00000029725.18"
"36","A0A087X0R6","ENST00000622259","ENST00000622259.4","DF000000051",6.3e-94,324.5,"+",162,172,"api","AluS","SINE","Alu","ENSG00000147164.13"
"37","A0A087X0R9","ENST00000611973","ENST00000611973.4","DF000000048",1.2e-80,280.9,"-",542,552,"api","AluS","SINE","Alu","ENSG00000138079.15"
"38","A0A087X135","ENST00000620043","ENST00000620043.4","DF000000008",5e-64,223,"+",6,32,"api","L1M5_orf2","LINE","L1","ENSG00000131044.19"
"39","A0A087X1D4","ENST00000462075","ENST00000462075.1","DF000290007",1.1e-73,255.3,"+",26,36,"api","FAM90Ar","Unknown","","ENSG00000196693.16"
"40","A0A087X1H8","ENST00000563351","ENST00000563351.5","DF000000975",2.1e-15,67.1,"-",94,117,"api","MIRb","SINE","MIR","ENSG00000179588.9"
"41","A0A087X2J4","ENST00000530809","ENST00000530809.2","DF000000877",1.9e-30,116,"+",45,56,"api",NA,NA,NA,"ENSG00000160695.17"
"42","A0A088AWN2","ENST00000424963","ENST00000424963.6","DF000000358",1.4e-17,68.8,"-",145,175,"api","L2","LINE","L2","ENSG00000140153.19"
"43","A0A0A0MRD0","ENST00000355830","ENST00000355830.11","DF000000143",3.4e-14,63.3,"-",377,386,"api","FLAM_A","SINE","Alu","ENSG00000184949.18"
"44","A0A0A0MRD0","ENST00000355830","ENST00000355830.11","DF000000156",5.3e-30,110.4,"-",636,651,"api","HAL1M8","LINE","L1","ENSG00000184949.18"
"45","A0A0A0MRQ7","ENST00000372198","ENST00000372198.5","DF000000005",3.8e-119,408,"+",1,11,"api","THE1A","LTR","ERVL-MaLR","ENSG00000133665.14"
"46","A0A0A0MRR9","ENST00000374151","ENST00000374151.7","DF000000359",4.9e-43,157,"-",85,110,"api","L2a","LINE","L2","ENSG00000204161.16"
"47","A0A0A0MSE9","ENST00000403716","ENST00000403716.5","DF000000826",1.4e-46,168.5,"-",179,191,"api",NA,NA,NA,"ENSG00000115762.18"
"48","A0A0A0MSR6","ENST00000420847","ENST00000420847.2","DF000000975",1.3e-13,61.2,"+",215,228,"api","MIRb","SINE","MIR","ENSG00000107077.22"
